component_concept,setter_impl,closer_impl,dialer_impl,shared,consolidation_opportunity,notes
Column header (icon + label + count badge),Inline div per-kanban (SetterKanban StageColumn header) — no shared component,Inline div inside KanbanColumn — structurally same,ColumnHeader() extracted as named function in DialerKanban.tsx,None shared yet,Extract a shared ColumnHeader component (icon + tooltip label + color badge). All three kanbans render this identically.,Dialer already extracted it locally; copy-paste to setter and closer
Outcomes bar (Won/Lost drop zone),OutcomesBar in SetterKanban — uses DroppableColumn,OutcomesBar in KanbanPipeline — uses plain <div> with HTML5 drop,OutcomesBar in DialerKanban — uses DroppableColumn (OutcomeDropColumn),Setter + dialer share DroppableColumn for outcomes; closer uses plain div,Closer's outcomes bar should use DroppableColumn. Also extract a shared OutcomesBar shell.,
Add-to-pipeline inline form,AddToKanbanInline in SetterKanban.tsx — searches local leads + GHL contacts,AddToPipelineInline in KanbanPipeline.tsx — manual name/email/phone form,DialerImportButton — CSV upload modal (not a search form),None shared,"Three totally different add UX patterns. Not necessarily wrong (different input sources) but should share the modal shell + cancel/submit button layout.",
Filter bar,PipelineFilterBar (components/shared/PipelineFilterBar.tsx),PipelineFilterBar,PipelineFilterBar,Fully shared,Good — shared filter bar.,Closer adds inline objection dropdown + All/Mine toggle via trailingSlot; dialer adds activityFilter + DialerImportButton via trailingSlot
Stats pills,StatPill component (inline in SetterKanban) — labels: New / Funnel / Booked / Recovery / Won,Inline badge divs in KanbanPipeline — labels: Hot / Nurture / Recovery / Won,StatPill component (inline in DialerKanban — identical to setter impl) — labels: New / Called / Booked / Recovery / Closed,None — StatPill duplicated between setter and dialer; closer uses ad-hoc badge divs,Extract shared StatPill to components/shared/kanban/. Already identical between setter + dialer.,
Mobile stage tabs,Inline button list in SetterKanban,Inline button list in KanbanPipeline,Inline button list in DialerKanban,None,Structurally identical in all three. Extract shared MobileStageTabs primitive.,
Mobile single-column view,MobileStageColumn (inline SetterKanban),Inline MobileStageColumn-equivalent via mobileStage state,MobileStageColumn (inline DialerKanban),None,All three render a single-column card list on mobile. Extract shared MobileStageColumn shell.,
Read-only column,None,None — recovery columns (CANCELLED/NO_SHOW) are drag-source but not drop-target (implicitly read-only),ReadOnlyStageColumn (DialerKanban.tsx) — explicit 0.62 opacity + no DnD,None,"Dialer's read-only column concept (FU_IMMEDIATE, shown as closer's territory) is unique. Closer's recovery columns are read-only by behavior not by component. Formalize.",
Stage group visual separator,Gap div (width:8px) before certain stages via activeBreaks Set,Vertical line <div className=w-px> before CANCELLED group,Gap div (width:8px) before BOOKED and FU_IMMEDIATE,None,Same visual concept (section break between stage groups) implemented three different ways. Standardize to a shared StageSeparator.,
Session storage caching,Yes — cacheKey pattern kanban-setter-${slug},Yes — cacheKey pattern kanban-closer-${name},No — dialer skips sessionStorage,Partial (setter + closer),Dialer should add sessionStorage caching for initial load speed. Setter + closer pattern is identical — extract shared cacheKanban utility.,
